ā,吖呵啊𠼞𥥩腌𨉚锕錒阿
ào,傲㕭噢㘬㘭坳垇墺𡒃奡奥奧嫯㜜㜩岙岰嶅嶴㠗𢕟慠㥿懊扷抝拗𢳆擙敖柪澆澳燠𤺾𥑑䐿謷䜒軪鏊隩𩑍䫨𩕀𩟇骜驁䮯𩼈鷔
bā,丷仈八𠛋叭吧哱哵𠵺夿𡚭岜峇巴巼𢠭扒捌捭𢻷朳柭㭭㸭𤜱玐𤣸㺴𤤒疤㿬𥐙笆䈈粑羓𦓧芭蚆𧎱豝𧲧𨊹釛釟鈀𩚥𩠀𩡩魞鲃䰾䶕
bá,八㔜叐坺墢妭𢇷抜㧊抪拔湃炦犮癹𥎱𥥛胈茇茷菝萆𦳺詙𧺡𧺺跋䟦軷𩊤𩖣颰𩖽𩙥䮂魃䳊鼥
bǎ,㞎𢃳把𢺞鈀钯靶
bà,伯𠐌坝垻壩弝把杷㭛欛㶚灞爸𤜕皅矲䃻𥝧䆉䇑罢罷耙䎬䎱𦫙覇𧿏跁䥯𩃴霸靶䩗䩻𩨜䯲䰾鮁鮊鲅鲌𩹏𩽷䶕
ba,叭吧𣬶𣬷紦罢罷
bāi,㓦𢛞挀㧳掰擘䠋𨃅𩑢䪹
bái,𪡈白㿟𥬝𦣺䳆
bǎi,伯佰𠫛𠮠捭摆擺柏栢瓸百竡粨絔罷𦣻䙓襬
bài,𠟻㔥呗唄啡𡏯𡭢㠔庍𢈕扒拜拝排敗贁𣧙派𣺽𤁣𤙅猈𤽹稗粺𦩋䒔𦳞薜薭败䢙鞁𩋂鞴𩎻韛𩏞
bai,㗑
bān,𠔯𠚼𠦒卑𠺚㢖彬扳搫搬𢲔攽斑斒朌𣪂𤡰班𤦦㻞𤫫𤳖瘢癍䃑䈲籓𥹓𦎊般𧇥螌褩豳賁辬𨭉頒颁𩔮𩭧䰉鳻𩿉𪄕𪉒𪒋
bǎn,𠧫坂𡯘岅昄板版瓪粄䉽舨般蝂𧌿覂𧿨鈑钣闆阪䬳魬
bàn,並伴分办半𠯘坢埿㚘姅怑扮拌𢲔𢴬㪵柈湴瓣秚𥷁絆绊𦙹𦝤䛀跘辦辨𨐦𨐱辯𨐾鉡靽𩢔
ban,螁
bāng,𠲑𠳐垹㙃𢁏帮幇幚幫彭捠㨍𢸌梆𣮡浜𤚰𤱵𥀂㿶縍𦰥邦邫𨢐鞤𩋮䩷𩍗
bǎng,搒㮄榜𣮧牓紡绑綁膀𦾭螃騯髈
bàng,並傍𠨵𠬣嗙埲塝嫎𡽲𢄎徬𢜗𢪋𢮏搒𢶶旁㭋棒棓榜𣘙玤䂜硥磅稖縍䎧膀艕蒡蚄蚌䖫蛖蜯謗谤鎊镑䧛𩦠𩮗䰷
bāo,𠅬佨剥勹包𠣒孢𡶄枹炮煲笣胞苞苴葆蕔裒褒襃𧵢𨚔闁鮑齙龅
báo,嫑㵡𤿈㿺砲窇𥭓䈏𦡕𦢊薄𧭤鉋䥤䨌雹䨔䪨
bǎo,保𠤏呆㙅堡堢媬宝𡧖宲寚寳寶怉𤞥珤㻄緥䎂葆藵褓賲𨰦𨰻靌飹飽饱𩛞䭋駂䭸𩬽䯽𩭼鳵鴇鸨䳈䳰䴐
bào,儤刨勽𠣺𠹕嘐嚗𡂟𡉩報㙸忁怉报抱𢼌㫧暴曓𣋳㲒𣭀瀑爆𤔣𤝧𥄹菢虣蚫𧘑袌袍𧝘𧭤豹趵𨇅𨠖䤖鉋铇鑤靤𩊅𩍂骲髱鮑鲍𩾡𩿓𪏶
bēi,俾卑㗗埤𢃍悲揹杯柸桮棓椑𣝁𣬍波㽡𤵛𤷁𤷒𤿾盃𥏓碑箄𥶓𦈧𦈶䎱背𦩖萆藣襬䚜諀𧼠䣙錍䥯陂鞞𩔹䱝鵯鹎
běi,北𡰯悖㤳䋳𧉥𧋲鉳
bèi,俻倍偝偹備𠋭僃𠐡㔗𠢥㔨北哱垻𡋭备㛝孛𡥞𢂏㣁怫悖惫愂憊拔𢴾𢻵㪍昁㫲𣎵杮梖㭭棑棓𣖾㰆𣬪㶔焙㷶㸢牬㸬㸽犕狈𤜲狽珼琲㻗𤰈𤳦㾱𤹲𤿒碚禙糒背苝茀𦮷菩萯葡蓓䔒𦾙蛽蜚被褙誖貝贝𧶙䟛跋䟺軰輩辈䡶𨚍邶郥鄁钡鋇鐴鐾𩇩䩀鞁鞴𩖠𩚾骳䰽
bei,呗唄臂
bēn,倴喯𡗲奔本栟泍𣳰渀犇蟦賁贲逩錛锛鐼𩣺𩧼𪑖
běn,夲𡗢奙㡷𣄏本楍㮺畚翉苯
bèn,体倴坋坌夯奔㤓捹㨧撪桳㮥泍𣴞渀炃燌獖𥢊笨𦯀軬𨋒輽逩䬱𩰶𪊜𪎝
bēng,伻傍傰𠜳㔙𠡮嗙嘣奟𡡈崩嵭平𢆸𢉁𢏳𢐒㧍抨搒𣂤旁榜𣨥㱶𤙾𤡭𡶤痭祊𥛱𥞩絣綳绷繃𦅈䑫𨕧閍𨸂𨹹𨻱䨜
béng,甭
běng,㑟俸唪埄埲漨琣琫𤫬𥀂绷䋽𦂌繃菶𧑑䙀𧚭𨓁𩊌鞛䩬𩑚䳞
bèng,堋𡎾塴𡾛熢㷯㼞甏泵𥖗𥦜绷繃𦝷𦺑蚌𧩱𧻓跰蹦𨆊迸逬錋鏰镚𨹹𩂦䨻𩗴䭰𪔑
beng,揼
bī,偪媲屄幅㡙悂𢞗𢟵𢡅楅榌㯅𣚡毴𤝸皀𥏠笓箄紕𦀘螕𧓎䚜𧤃豍逼鈚錍鎞𨲋𨻀𨻼䫾䮠𩧿𩭧鰏鲾鵖
bí,嬶𣴨𦤫荸𧼱䨆𩾳䵄䵗鼻
bǐ,佊俾𠐌𠛡匕卑𠧅𠬈吡啚夶妣㚰娝𡳄崥㠲彼𢩒捭𢳋㪏朼枇柀𣔓比沘㻶疕𤹦𤽊䃾秕笔筆箄粃紕罷聛肥䏢舭𦸣䘡貏𧳠䠋𨅗鄙䣥𨟵鈚𩣚魮𪌄𪐄
bì,仳佖佛𠈺俾𠋯𠓷㓖𠡂𠦈卑𠨘𠩿𠮃吡咇哔嗶𠽩㘠坒㘩㙄埤堛壁𡚁奰𡛗妼婢𡠚嬖𡻞𡽶币㡀𢁽幣幤𢅩庇庳廦𢍁弊㢰㢶㢸弻弼彃𢐦必𢖬怭怶𢘍愊愎拂㧙𢲾𢴩敝㪤斃𣁉𣁢旇𣋹服枇枈柲梐椑𣕾㮿㯇𣘥檗𣝍𣢠𣥣𣦇𣦢殍㱸𣩩比毕毖毙𣭤𣮐𣯴泌波㳼湢滗滭潷㵒㵥濞𤂀𤅹煏熚𤐙𤗚𤙞𤜻狴𤠺𤡝獘獙𤢣珌㻫璧畀畁畐畢疪𤵘痹痺𤷒𤹝𤻖皕㿫㿰䀣𥆯睤𥈗瞥䁹碧祕禆𥛘秘䄶𥟗稫𥢦笓筚箄箅箆篦篳𥳆𥴬𥷑粊䉾䊧紕紴䋔綼𦂖縪䌘繴䌟罼翍𦑞𦔆䎵肶肸胇䏟䏶脾腷𦠞臂𦤫芘苾茀荜𦭼𦯛𦰙萆萞𦱔𦳈蓖蓽蔽薜䕗蘗虑䖩蜌𧏻𧒀𧓄袐被裨襅𧝬襞襣觱𧥑詖诐𧫤𧲜𧳠貱費賁贲赑贔䟆跛䟤跸䠋踾蹕躃躄𨋥𨋩辟𨐨避𨚍邲𨚓鄨鄪𨠔鉍铋鏎鐴閇閈閉闭𨳲閟𨵰陂𨸼陛陴䧗𩉫鞁䩛𩊰鞞鞸䪐𩏂韠𩑻䫁䫾䬛飶饆馝馥駜䮡驆䯗髀𩪖𩪧髲𩯃𩲢魓鮅鮩鴓鶝鷝鷩鸊𪋜𪍪𪏺鼊
biān,便𠐈𠑟扁𢩟揙𢻶𣩀𤄺煸牑猵獱甂砭稹笾箯籩糄編编𦇭臱萹蝙䟍边辺𨖾邉邊𨥧鍽𨩫鞕鞭鯾鯿鳊𪏗𪓍
biǎn,𠓫匾𠪂𡈯封𡬯𡬲𡬸惼㦚扁𢴂𤀫疺䁵碥稨𥣝𥣰窆糄編緶𦟣萹𦽟藊褊覵豍贬貶𧸘辨辯𨖠釆鴘鶣𪖯
biàn,便卞变𠭹𠯴𠷖𡊅変㝸峅弁㣐徧忭抃拚𢬵𢭥揙昪𣈠㭓𣝜㲢汳汴㳎㳒㴜𣸇㵷𤀲㺕玣㺹𤺇𤻶𣪭𥍚䉸𥿋編緶缏𦉙䐔艑苄䒪覍䛒𧩰變䡢辡辧辨辩辫辮辯𨐾遍𨖠邲𨚕釆𨧕𨳲閞䪻頨𩩯𩰍𪉱
bian,炞边
biāo,僄儦𠔂𠚠剽墂嫖㟽幖𢅚𢒯摽𣄠杓标標淲滮漂瀌𤂆𤆀灬㶾熛爂𤐫猋瘭䁃䁭磦䅺穮篻𥲦𦔗𦔩脿膔膘𦠎臕苞蔈䔸𦾑藨彪䙳𧥍謤贆鏖鏢镖𨭚鑣镳颩颮飑颷𩙪飆飇飈飊飙飚骉驃骠䮽驫𩪊髟𩴩𩽁麃
biǎo,剽婊㟽㠒𢅚檦㯹𥘤脿䔸表裱褾𧝪諘錶
biào,俵𠬪㧼摽𢿏標脿蔈𧳀𧴎𧴕䞄鰾鳔
biē,㔡𡐞𡘴𡙀𢐳憋𢠳撇𣇢𣊶柭㭭𤉤𤷗瘪癟𥞲𥡁䋢蔽𧆊虌𧌽蟞䘷𨂅𩵛𩸁鳖鱉䳤𪂟鼈龞
bié,𠍯別别咇𡙪𡷘徶𢛎扒拔㧙捌柲𤺓癟𤾵秘穪䇷䏟苾莂蛂蟞襒𧝬𧧸𧿥䟤蹩䠥𨒜𩓝𩠻䭱𩡟𩦉𪐆
biě,瘪癟㿜
biè,别𢆣㢼彆䌘
bīn,份傧儐𠴇𡦻𡧍𡧼宾彬𢲰攽斌𣉮梹椕槟檳𣢏𣰨汃浜滨濒濱濵瀕玢㻞瑸璸𥃰砏缤繽虨䚔訜豩豳賓賔𧷟贇𨐰邠镔鑌䧬𨽗䨈霦𩆱頻顮𩴱𪇕
bǐn,䐔
bìn,儐𡦆摈擯殡殯膑臏𧸈髌髕髩鬂鬓鬢
bin,氞
bīng,仌仒兵冫冰屏𡲍并幷𢎴掤𣅍栟梹槟檳氷𥲂絣䔊鋲𨹗𩋒𪑰
bǐng,丙偋𠒝𠛥𠱛𡇤𡖛𡚛寎屏𡹾庰怲抦㨀摒昞昺枋柄棅𣦪炳琕癛眪禀秉稟窉綆苪𦼹蛃跰邴鈵鉼陃鞆𩊖鞞鞸𩏂餅饼餠𩶁䴵
bìng,丙並併倂偋𠊧傡㓈垪寎屏平并幷𢆩庰𢊜𢔧拼摒栤𣰜燹病痭𥖬竝𦡻𦿅䗒誁𨆱𨋲靐𩬝𩮟鮩
bō,僠剝剥𠱀哱啵𠺣𡀖妭㞈嶓帗𢂍拔拨撥播波溊潑潘𤗳𤜧玻番癶癷發皪盋砵碆䃗磻𥮯紴缽脖般菠𦲱蕃𧘟袚袰𧙄䝛𧲯趵蹳鉢钵𨭂餑饽𩜥䭦𩧯驋𩬸𩯌鮁鲅鱍
bó,亳仢伯佛侼僰勃募博𠧛𠮭哱𠷺𠸳㗘嚗𡋯壆孛㟑帛𢐾彴怕愽𢠺𢣞懪𢩞拍𢫯挬搏㩧㩭𢺽㪍㬍暴㬥㬧𣋵服柏柭桲榑𣛓欂𣧧殕𣭷泊浡淿渤溥㴾𣽡㵨瀑𤃵㶿煿爆𤒔𤕝牔𤗺㹀𤚽犦犻狛猼瓝瓟㼎㼟㼣𤶋白百𤾝䂍礡礴𥜖秡䄶穛𥭖箔簙簿𥴮𥹸䊿𦃙䌟𦈞𦋉䍸肑胉脖膊䑈𦢊𦤚𦤣舶艊艴苩茀茷𦯉菩𦰬葧蒲蔔薄薜𦼭𦽮𧇚䗚袯袹䙏襏襮𧟱詙豰䞳䟔䟛跑𧿲䟮踣𨈩𨍭𨏫䢌䢪郣鈸鉑钹铂鋍鎛镈䥬鑮𩃶𩄿𩌏䪇𩍿𩏯䪬𩓐𩗀𩙦𩗒𩗓䬪餺馎𩟕馛䭯馞駁驳䮀駮𩣡䮡䯋髆髉䰊𩱚魄鮊鲌𩷚𩽛䳁鵓鹁𪌰𪍡䵗䶈𪙍
bǒ,㝿播𤿑箥簸𥸥𥸨蚾跛𪓜𪚷
bò,𠴸𡅂孹𡯳𡯷擗擘柏檗檘簸糪蔢薄薜蘖蘗襎譒𩈔
bo,卜啵噃萡蔔
bū,𠚉哺峬庯晡秿𥪀誧𧻷逋鈽钸陠餔𩶉鯆𩺼鵏
bú,不僕𥻞輹轐醭鳪
bǔ,卜卟哺喸堡㙛𡡐拊捕捬㨐撲𢼹𣱶𤣰𥃨䀯𥣌𥸨䋠补補𨴪䪁䪔𩏮𩏵𩯏鵏鸔𪇰
bù,不佈𠘁𠜙勏吥咘㘵埔埗埠㚴婄尃布𢁻𢇴廍怖悑抪捗柨步歨歩㱛㳍溥𤚵㻉瓿㾟𤸵𥑢箁篰𥳖簿䊇𥹴䍌䏽䑰䒀荹蔀薄𧉩䝵踄𨋞𫐓𨛒部郶鈈钚附陠𩅇𩊬𩊶鞴𩌏𩏵䬏餔𫗦餢𩢕𩣝𩷖𩻗䳝䴺
cā,傪嚓拆擦攃𤄖䃰䌨蔡𨆾𨺭𪊗
cǎ,礤礸
cà,囃磣𥗭𥩝䟃遪䵽
cāi,偲啋婇㥒揌猜䞗䟀䠕
cái,㒲𢎂才扐材纔𦬁裁財财𧵤𨙴䴭
cǎi,倸啋埰婇寀彩㥒採毝𤚀𤝭𤟖𤷕睬綵䌽䐆𧀊跴踩䣋采
cài,埰𡣮寀棌𤁱縩䌨菜蔡采𨯓𩁞𩧇䰂𪇭
cān,傪参𠫭參叄叅喰囋㜗𡡖嬠嵾湌爘𥢽䉔𦪜𦪫䟃飡飱餐𩛳𩝖𩟒骖驂䱗鰺
cán,𠡡㜞惭㥇慙慚戔𢦸𢧮摲㨻𢾃𣦼㱚残殘淺𥂥䍼䏼𦺐𧅀蚕蝅䗝䗞𧓩䘉蠶蠺䙁䝳𠠋蹔𨅔䣟𨞷𩀧𩈻䳻
cǎn,噆𡆮惨慘憯㦧朁㿊䅟𥠩穇𥮾篸縿䣟𨲱𩈼黪黲
càn,傪儏參嘇𡛝㛑孱㣓掺摻𣶡𣻬澯𤅒灿燦㻮璨㽩𥹛粲薒䛹謲鏒𩞀𩯞𪆶
cāng,仓仺伧倉傖凔𠥐嵢沧滄濸𤚬獊瑲篬舱艙苍蒼𦾝螥𩀞𩕹𩝞鸧鶬
cáng,匨𡽴𡾻𡿄欌㵴㶓臧蔵藏𨤃鑶
cǎng,蒼
càng,䅮賶䢢
cāo,𠀊撡操澡𤒕㿷糙䎭造
cáo,傮嘈㜖𡮦嶆慒𣈅𣉿曺曹槽㯥漕𤡐𤵥𥕢䄚𥲍𦋿䏆䐬艚蓸螬褿𨎝鏪鐰𩞄𩠎𩫥
cǎo,𠹊屮愺慅懆艸䒑草騲
cào,慥漕肏䒃襙造鄵鼜
cao,艹
cè,侧側冊册厕厠𡍫墄嫧幘廁恻惻㥽憡拺㨲㩍𢷾敇𢿸𣌧栅测測畟𥠉笧策䇲𥬰筞筴箣䈟𥰡簎𥳯粣䊂𦔎𦣧荝萗萴蓛𦵪䔴䜺𧵡赦𨶨𩒄齰
cèi,𤭢
cēn,参參嵾穇篸
cén,㞤㞥岑梣𣡎汵涔硶䅾笒𦊃𨁊䤁𨥣𨱼䨙𩅨𩅮䫈䲋𩻛
cēng,噌𡃆曽
céng,僧增𡪠层層嶒𡾓𢅋㬝曾橧𤛢䁬竲䉕繒𦠇𧲅蹭鄫驓
cèng,𠟂㣒蹭
chā,偛𠝞𠞊叉喳嗏嚓𡋨㛼𡵌差𢔣𢘹扠扱挿𢭅捷接插揷𣆗杈㮑𤜫𤜯疀𤳵𤵾碴𦑈肞𦝥臿𦦘𦦜𦦱艖芆荖訍䛽𨀸𨙳釵銟鍤锸鎈𨪺餷馇𩝟𪘾
chá,𠞊叉𠽹垞𡝐𡝙㜘𡨀察嵖㡸㢉㢒𢣼捈搽摖㪯斜㫅查梌楂槎𣘤𣘻檫𣱱猹𤶠䁟𥌀碴秅䅊𥥸𥻗𦉆𦑣𦛝苴茬茶荼𦳘䕓褨詧𨃓䠡鉏䤩𨼑靫𩟔𪒼
chǎ,叉土𡌚𥑥䂳𥫢衩蹅𨩨鑔镲
chà,仛侘刹叉奼姹岎岔差㣾㤞𣃍𣍏杈㲼汊㳗𤞠𤳅𥃀紁䒲䓭衩𧠈訍詫诧𧩫𧫗𧶵䟕𨆇䡨𩴳𪑂𪑨䶪
chāi,𠞊差扠拆搓𢹓㼮𥐟䐤芆䞗釵钗𩑐
chái,侪㑪儕喍𡟭𡺵查柴犲𤝔𤞗𤠌㾹祡茈䓱豺𨌅齜
chǎi,茝䜺
chài,囆差㦅㳗瘥𦏱𦐰𦑏蔕𧀱虿蠆𧒨𧓽𧔴𧕧䘍袃訍𧪘𧸿
chān,佔兔𠣄嘽嚵𡖞𡖤㚲𡝫𡮿幨㢟𢌚㤐掺搀摻攙梴㰫沾𤎥㺗𤴿𥭔緂脠苫袩裧襜襝覘觇𨊝辿鉆鋓䦓𨵍䩥䪜𩖌𩬑
chán,亶僝僤儃儳劖单厘單嚵𡎻㙻壥婵嬋嬗孱嶄巉㢆廛𢥋撣𢽝棎𣔵𣔻欃𣤱毚湹漸潹潺澶瀍瀺㶣煘獑㺥𤸦䂁磛禅禪緾缠繟繵纏纒𦝟艬蝉螹𧐲蟬蟺蟾𧓋𧕃襢𧥓誗𧨗谗䜛讒𧴃𧾍𧾡蹍躔䡲辿䣑鄽酁鋋䤫镡𨬖𨮻鑱镵𨷭𨽊䧯䫮馋饞𩮏𩽝𪏁𪏂𪏋𪏦𪓄𪖎𪗂𪚃
chǎn,丳产𠋷僤𠐩𠑆𠑑𠑡冁刬剗剷啴單𠹖𠁷嘽囅𡍌墠𡶴嵼𢁧幝㦃憚𢱟摌𢷹𣃘斺旵榐㯆浐滻灛燀𤚍㹌㹽產産𤯥𥧑簅䊲𦈎繟𦆀䐮𦢙䑎蒇𦸰蕆𧈪諂谄譂𧬦讇𨄉𨇝辴𨔢醦䤘铲𨩪䥀𨪑鏟𨲵閳阐闡𨷭𨼒䩶𩝚𩥮骣䵐𪙞
chàn,儳刬剗𠟉㙴幝幨忏懴懺摲㨻𢺟㬄燀𤗻㸥𤪮𤮭𤼋䀡𥊓硟䊲羼裧襜𧠛讖䠨𨇦𨳂䦲韂𩍲䪜顫颤𩟶䱿䴼
chāng,伥倀倡娼昌晿椙淐猖琩䅛𥫅菖䗉裮錩锠閶阊闛𨷇䮖𩲹𩳤鯧鲳𪂇𪉨鼚
cháng,仧仩倘偿償兏𠙁嘗嚐场㙊場塲嫦尚尝𢁝常徜㦂棖瑺瓺甞𥋤肠脹腸膓苌萇𦰱𦼳䗅裳䠆𨣛鋿鏛長镸长𨱮䯴鲿鱨𪁺𪄹
chǎng,僘儻厂厰场場塲𡭿廠惝敞昶㫤氅淌𤢄𤿼𥗊䠀𨎖鋹𪁺
chàng,倡𠚊唱怅𢗺悵𢢌昌暢淌焻玚瑒畅畼𤽣𥇔𥟚𥠴𧀄誯䩨韔鬯
chang,蟐
chāo,剿劋勦吵𠰉嘮𢁾弨怊抄摷樔欩焯𤙴紹綽绰𦾱訬䜈超䟁鈔钞𨴡䫸𩖥䫿䰫䳂
cháo,勦嘲𡏮𡡊𡻝𡼼巢巣晁朝樔𣰩漅潮濤牊𥕘䄻𥧇窲𥲀罺𦸛謿𨄓轈鄛䰫䲃鼂鼌
chǎo,吵巐㥮抄槱㶤炒焣㷅煼眧粆䎐䏚𦙧訬𧧠謅超趫鈔𩈎𩱈𩱦麨𪎊𪌬𪍇𪍑
chào,仦仯吵𡯴巢抄晁𤰬𥿷縐耖𦨖觘超趠𨌬𨗡𨢪𨨚䮓𪍈
chē,伡俥唓𡷖𤥭砗硨莗蛼車车𩒷
ché,𧙝
chě,偖奲尺扯㨋撦㵔䋲𦓍䞣䰩𩴟
chè,㒤勶㔭呫喢坼宅屮𢇛𢊏彻徹㤴㥉𢛁拆掣揊摰撤斥㬚㱌𣨊池㳧澈烢烲𤊿爡𤕛𤖷𤗙㾝𤹞㿭䁤瞮硩𥯥䊞𥿊𦈈聅𦛖䒆䚢詀䛸謵䜠䞣𧼳𨀠𨅊迠𨹡䧪𩂻𩎚頙𩗙𪎺
chēn,侲嗔㥲抻捵棽𣞟㲀𤝚𤟸𤡳琛瘨䀼瞋𥞁𦁄綝𦁟縝肜胂䏹䐜䑣𧡬諃謓賝䠳郴𨻖𨼌𩂉𩅌𩇖
chén,㕴填塵宸尘帘𢆺忱愖揨敐𣀍晨㫳曟枕桭棧樄橙沈沉湛㴴煁𤘣㽸瘎𤹛𥉜䆣𥫹𦁟臣䒞茞莀莐蔯薼螴訦𧨡諶谌䜟趁跈䟢軙辰䢅䢈𨑌迧䢻䣅鈂䤟陈陳𨼤霃𪁏𪁧鷐麎𪕁
chěn,堪墋夦湛眈硶碜𥔪磣謲贂趻𧿒踸醦𨣔鍖䫈䫖𩞀
chèn,𠋆儭嚫𡫁𢎕㧱榇櫬瀋疢疹𥗒称稱𧆂衬襯𧭼讖谶䞋趁趂闖𨼐齓齔龀
chen,伧傖
chēng,偁僜净㓌噌𠏧㛵𡽊憆搶摚撐撑朾柽棦棱槍樘橕橖檉𣥺泟浾湞爯牚琤瑲睖䁎瞠矃秤称稱穪竀緽罉𦓬䕝虰蛏䗀蟶𧯒赪䞓赬䟓䟫蹚𨎋铛鎗鏳鏿鐣𨭃鐺阷𩁷靗𩇜頳饓𩞦𩠏
chéng,丞乗乘倀傖𠓷𠕠呈𠳽嗆城埕埩堘塍塖娍𡝚宬㞼峸嵊𢐞徵惩憕懲成承挰掁㨃搶撜𢻓𢾊𢿦𢿧𣀏晟朾枨棖椉橙檙㲂氶洆浧淨溗澂澄瀓𤆁𤗓珵珹㼩畻𤿣盛盯䁎碀䄇程𥢲䆑𥥱窚䆵筬䇸絾脀脭𦦢荿䔲裎觕䚘誠诚𧶔𧹓趟𨁎𨅝𨌤郕郢𨞐酲醒铖鋮𨹚䧕䫆𩙆𩤙𩨆騬䮪𩫹𩯎鯎𪁋
chěng,侱呈庱徎悜𢜻𢜼𢟊𣥻睈裎踜逞騁骋
chèng,㐼𡤿𢔤敞爯𤕀牚秤称稱竀𧡈𧶸𧷒𨋬𨌤𩇜𩛦黨
chī,侙吃哧喫嗤噄噭妛媸𡼁彨彲𢣕抬𢱟摛摴攡樆㰞𣣷㷰㺈𤡢瓻痴癡𥄇眵瞝䄜离笞䇪𥭘粚絺𫄨𦆤𦇲𦐉𦑡胝胵脪𦞲蚩蚳螭訵誺𧩚𧩴𧪡䜉𧴁𨒬郗䧝離𩤖魑𩶅鴟鸱鵄𪌹𪏸黐齝
chí,俿㓾匙𠩺𡂙𡉪坻𡌞𡎍㙜墀她㞴岻弛㢮𢓎𢔊徲持提𣉄柢㮛歭汖池𣲋𣲑沱沶治泜𣹡漦𤈔狋㾹祇穉竾筂箈箎篪𦏸𦐁𦑡耛芪茌茬荎莉菭𦱰𦳚𦵟蚳蛇𧋗蝭𧎨𧛺䙙謘謻䜄𧭟貾𧺏赿趍䞾跢踟踶軧迟迡遅遟遲邌𨘾鍉𨨲𩉬䪧𩚉馳驰䮈驪鶗𪌫𪏐䶔䶵
chǐ,侈𢇕𠛔𠝨𠞄卶𠭋叺呎哆㘜垑𡖳奓尺𡳭𢇛㢁㢋恥扡拖拸搋𣆚欼㱀𣤌歯㶴𤟆𤵬𥚚移紕䊼耻肔𦙆胣䏧䑛𧀤蚇𧉀袲袳裭𧛧褫誀誃豉䜵䜻𧰲𨑠𨖎鉹𨾛𩒐𩳲齒齿齣
chì,佁㑜傺㒆剟㓼𠞩㔑勅勑卙𠧚𠧵叱𠮟呬呹哆啻喜𠻟嘯𡚨𡣀㞿𢂝㡿彳恜㥡𢜳慗慸憏懘𢨒抶拆捇𢴨㩽敕斥杘𣐃柅𣙰𣚩𣤩湁滯灻𤆍炽烾熾𤡏𤰠㽚痓痸瘈瘛𤸪眙䀸硳𥛚𥱻𦂋𦎚𦏿翄翅翤翨𦔫𦘪腟𦤸𦥊𧠫𧤍訵誃𧩴𧩼赤𧺠𧺧𧺿趐𧼪趩跅跮踅䟷𨂰䠠迣𨔤遫鉓銐䤲𨧳𨨬雴𩈕飭饬飾饎騺𩥲䮻䰡𩷧𩾕鳷𩿪𪉄𪀦𪉅鵣鶒𫛶䳵鷘𪅍𪅙𪆵𪉗
chi,麶
